"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Dart", "Ruby", "Markdown", "Swift", "XML", "Properties", "comment", "blank", "total"
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/runner/CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/runner/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/runner/my_application.cc", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 149
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/runner/my_application.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 4, 19
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 10, 43
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/jason/grocery-list-mobile-app/grocery_app/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/jason/grocery-list-mobile-app/grocery_app/pubspec.yaml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/Users/jason/grocery-list-mobile-app/grocery_app/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
